Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Manuf_0001,$28.74 ,2,Manuf,,,1.05,,,,,,,,,,,,,,352,32
Manuf_0002,$15.71 ,2,Manuf,,,1.16,,,,,,,,,,,,,,352,64
Manuf_0003,$20.98 ,2,Manuf,,,1.02,,,,,,,,,,,,,,352,96
Manuf_0004,$16.58 ,2,Manuf,,,1.01,,,,,,,,,,,,,,352,128
Manuf_0005,$64.94 ,2,Manuf,,,1.13,,,,,,,,,,,,,,352,160
Manuf_0006,$74.46 ,2,Manuf,,,1.12,,,,,,,,,,,,,,352,192
Manuf_0007,$72.84 ,2,Manuf,,,1.13,,,,,,,,,,,,,,352,224
Manuf_0008,$65.06 ,2,Manuf,,,1.09,,,,,,,,,,,,,,352,256
Manuf_0009,$31.78 ,2,Manuf,,,1.03,,,,,,,,,,,,,,352,288
Manuf_0010,$42.86 ,2,Manuf,,,1.19,,,,,,,,,,,,,,352,320
Manuf_0011,$39.77 ,2,Manuf,,,1.09,,,,,,,,,,,,,,352,352
Manuf_0012,$31.27 ,2,Manuf,,,1.11,,,,,,,,,,,,,,352,384
Manuf_0013,$20.47 ,2,Manuf,,,1.11,,,,,,,,,,,,,,352,416
Manuf_0014,$22.28 ,2,Manuf,,,1.15,,,,,,,,,,,,,,352,448
Manuf_0015,$20.26 ,2,Manuf,,,1.04,,,,,,,,,,,,,,352,480
Manuf_0016,$15.92 ,2,Manuf,,,1.15,,,,,,,,,,,,,,352,512
Manuf_0017,$90.95 ,2,Manuf,,,1.04,,,,,,,,,,,,,,352,544
Manuf_0018,$98.73 ,2,Manuf,,,1.17,,,,,,,,,,,,,,352,576
Manuf_0019,$96.48 ,2,Manuf,,,1.11,,,,,,,,,,,,,,352,608
Manuf_0020,$74.36 ,2,Manuf,,,1.2,,,,,,,,,,,,,,352,640
Manuf_0021,$28.22 ,2,Manuf,,,1.02,,,,,,,,,,,,,,352,672
Manuf_0022,$26.56 ,2,Manuf,,,1.04,,,,,,,,,,,,,,352,704
Manuf_0023,$37.70 ,2,Manuf,,,1.1,,,,,,,,,,,,,,352,736
Manuf_0024,$30.56 ,2,Manuf,,,1.19,,,,,,,,,,,,,,352,768
Manuf_0025,$29.25 ,2,Manuf,,,1.19,,,,,,,,,,,,,,352,800
Manuf_0026,$33.11 ,2,Manuf,,,1.07,,,,,,,,,,,,,,352,832
Manuf_0027,$4.07 ,2,Manuf,,,1.08,,,,,,,,,,,,,,352,864
Manuf_0028,$16.48 ,2,Manuf,,,1.2,,,,,,,,,,,,,,352,896
Manuf_0029,$2.43 ,2,Manuf,,,1.01,,,,,,,,,,,,,,352,928
Manuf_0030,$38.12 ,2,Manuf,,,1.07,,,,,,,,,,,,,,352,960
Manuf_0031,$35.35 ,2,Manuf,,,1.12,,,,,,,,,,,,,,352,992
Manuf_0032,$30.22 ,2,Manuf,,,1.19,,,,,,,,,,,,,,352,1024
Manuf_0033,$37.59 ,2,Manuf,,,1.17,,,,,,,,,,,,,,352,1056
Manuf_0034,$28.95 ,2,Manuf,,,1.14,,,,,,,,,,,,,,352,1088
Manuf_0035,$38.70 ,2,Manuf,,,1.15,,,,,,,,,,,,,,352,1120
Manuf_0036,$28.69 ,2,Manuf,,,1.05,,,,,,,,,,,,,,352,1152
Manuf_0037,$26.70 ,2,Manuf,,,1.16,,,,,,,,,,,,,,352,1184
Manuf_0038,$36.47 ,2,Manuf,,,1.11,,,,,,,,,,,,,,352,1216
Manuf_0039,$43.81 ,2,Manuf,,,1.04,,,,,,,,,,,,,,352,1248
Manuf_0040,$31.88 ,2,Manuf,,,1.13,,,,,,,,,,,,,,352,1280
Manuf_0041,$27.56 ,2,Manuf,,,1.11,,,,,,,,,,,,,,352,1312
Manuf_0042,$33.16 ,2,Manuf,,,1.15,,,,,,,,,,,,,,352,1344
Manuf_0043,$36.29 ,2,Manuf,,,1.09,,,,,,,,,,,,,,352,1376
Manuf_0044,$21.26 ,2,Manuf,,,1.05,,,,,,,,,,,,,,352,1408
Manuf_0045,$20.61 ,2,Manuf,,,1.14,,,,,,,,,,,,,,352,1440
Manuf_0046,$19.70 ,2,Manuf,,,1.2,,,,,,,,,,,,,,352,1472
