Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Dist_0001,$0.25 ,1,Dist,,,10,,,,,,,,,,,,,,1264,48
Dist_0002,$0.21 ,1,Dist,,,10,,,,,,,,,,,,,,1264,304
Dist_0003,$0.27 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,560
Dist_0004,$0.18 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,816
Dist_0005,$0.22 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,1072
Dist_0006,$0.25 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,1328
Dist_0007,$0.20 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,1584
Dist_0008,$0.21 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,1840
Dist_0009,$0.23 ,1,Dist,,,10,,,,,,,,,,,,,,1264,2096
Dist_0010,$0.32 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,2352
Dist_0011,$0.23 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,2608
Dist_0012,$0.17 ,1,Dist,,,10,,,,,,,,,,,,,,1264,2864
Dist_0013,$0.29 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,3120
Dist_0014,$0.14 ,1,Dist,,,10,,,,,,,,,,,,,,1264,3376
Dist_0015,$0.17 ,1,Dist,,,10,,,,,,,,,,,,,,1264,3632
Dist_0016,$0.29 ,1,Dist,,,10.00,,,,,,,,,,,,,,1264,3888
Dist_0017,$0.21 ,1,Dist,,,10,,,,,,,,,,,,,,1264,4144
Manuf_0001,$0.23 ,5,Manuf,,,7,1,,,,,,,,,,,,,384,1312
Manuf_0002,$0.37 ,5,Manuf,,,11,1,,,,,,,,,,,,,384,1344
Manuf_0003,$0.25 ,5,Manuf,,,7,1,,,,,,,,,,,,,384,1376
Manuf_0004,$0.29 ,5,Manuf,,,8,1,,,,,,,,,,,,,384,1408
Manuf_0005,$0.75 ,5,Manuf,,,9,1,,,,,,,,,,,,,384,4144
Manuf_0006,$0.26 ,5,Manuf,,,10,1,,,,,,,,,,,,,384,4176
Manuf_0007,$0.36 ,5,Manuf,,,9,1,,,,,,,,,,,,,384,4208
Manuf_0008,$0.34 ,5,Manuf,,,13,1,,,,,,,,,,,,,384,4240
Manuf_0009,$0.27 ,5,Manuf,,,9,1,,,,,,,,,,,,,384,4272
Manuf_0010,$0.75 ,5,Manuf,,,13,1,,,,,,,,,,,,,384,4304
Manuf_0011,$0.72 ,4,Manuf,,,6,1,,,,,,,,,,,,,608,304
Manuf_0012,$1.02 ,4,Manuf,,,8,1,,,,,,,,,,,,,608,848
Manuf_0013,$0.72 ,4,Manuf,,,11,1,,,,,,,,,,,,,608,1104
Manuf_0014,$0.73 ,4,Manuf,,,6,1,,,,,,,,,,,,,608,1328
Manuf_0015,$1.30 ,4,Manuf,,,10,1,,,,,,,,,,,,,608,1584
Manuf_0016,$1.03 ,4,Manuf,,,8,1,,,,,,,,,,,,,608,1840
Manuf_0017,$0.75 ,4,Manuf,,,10,1,,,,,,,,,,,,,608,2096
Manuf_0018,$0.82 ,4,Manuf,,,13,1,,,,,,,,,,,,,608,2352
Manuf_0019,$0.86 ,4,Manuf,,,11,1,,,,,,,,,,,,,608,2608
Manuf_0020,$0.76 ,4,Manuf,,,11,1,,,,,,,,,,,,,608,2864
Manuf_0021,$0.80 ,4,Manuf,,,8,1,,,,,,,,,,,,,608,3120
Manuf_0022,$0.91 ,4,Manuf,,,8,1,,,,,,,,,,,,,608,3408
Manuf_0023,$0.86 ,4,Manuf,,,9,1,,,,,,,,,,,,,608,3632
Manuf_0024,$0.60 ,4,Manuf,,,12,1,,,,,,,,,,,,,608,3888
Manuf_0025,$1.53 ,4,Manuf,,,11,1,,,,,,,,,,,,,608,4144
Manuf_0026,$1.93 ,3,Manuf,,,11,,,,,,,,,,,,,,832,48
Manuf_0027,$0.11 ,3,Manuf,,,12,,,,,,,,,,,,,,832,304
Manuf_0028,$0.18 ,3,Manuf,,,12,,,,,,,,,,,,,,832,560
Manuf_0029,$0.19 ,3,Manuf,,,12,,,,,,,,,,,,,,832,816
Manuf_0030,$0.16 ,3,Manuf,,,11,,,,,,,,,,,,,,832,1072
Manuf_0031,$0.20 ,3,Manuf,,,11,,,,,,,,,,,,,,848,1328
Manuf_0032,$0.23 ,3,Manuf,,,7,,,,,,,,,,,,,,864,1584
Manuf_0033,$0.27 ,3,Manuf,,,8,,,,,,,,,,,,,,864,1840
Manuf_0034,$0.24 ,3,Manuf,,,9,,,,,,,,,,,,,,864,2096
Manuf_0035,$0.20 ,3,Manuf,,,10,,,,,,,,,,,,,,864,2352
Manuf_0036,$0.22 ,3,Manuf,,,9,,,,,,,,,,,,,,864,2608
Manuf_0037,$0.17 ,3,Manuf,,,9,,,,,,,,,,,,,,864,2864
Manuf_0038,$0.17 ,3,Manuf,,,13,,,,,,,,,,,,,,864,3120
Manuf_0039,$0.22 ,3,Manuf,,,14,,,,,,,,,,,,,,864,3376
Manuf_0040,$0.19 ,3,Manuf,,,8,,,,,,,,,,,,,,864,3632
Manuf_0041,$0.20 ,3,Manuf,,,13,,,,,,,,,,,,,,864,3888
Manuf_0042,$0.03 ,3,Manuf,,,8,,,,,,,,,,,,,,864,4144
Manuf_0043,$0.12 ,2,Manuf,,,13,,,,,,,,,,,,,,1056,48
Manuf_0044,$0.03 ,2,Manuf,,,9,,,,,,,,,,,,,,1056,304
Manuf_0045,$0.20 ,2,Manuf,,,17,,,,,,,,,,,,,,1056,560
Manuf_0046,$0.06 ,2,Manuf,,,13,,,,,,,,,,,,,,1056,816
Manuf_0047,$0.06 ,2,Manuf,,,16,,,,,,,,,,,,,,1056,1072
Manuf_0048,$0.03 ,2,Manuf,,,13,,,,,,,,,,,,,,1056,1328
Manuf_0049,$0.02 ,2,Manuf,,,16,,,,,,,,,,,,,,1056,1584
Manuf_0050,$0.01 ,2,Manuf,,,18,,,,,,,,,,,,,,1056,1840
Manuf_0051,$0.03 ,2,Manuf,,,16,,,,,,,,,,,,,,1056,2096
Manuf_0052,$0.02 ,2,Manuf,,,13,,,,,,,,,,,,,,1056,2352
Manuf_0053,$0.01 ,2,Manuf,,,16,,,,,,,,,,,,,,1056,2608
Manuf_0054,$0.32 ,2,Manuf,,,18,,,,,,,,,,,,,,1056,2864
Manuf_0055,$0.02 ,2,Manuf,,,12,,,,,,,,,,,,,,1056,3120
Manuf_0056,$0.33 ,2,Manuf,,,11,,,,,,,,,,,,,,1056,3376
Manuf_0057,$0.35 ,2,Manuf,,,16,,,,,,,,,,,,,,1056,3632
Manuf_0058,$0.22 ,2,Manuf,,,14,,,,,,,,,,,,,,1056,3888
Manuf_0059,$0.54 ,2,Manuf,,,17,,,,,,,,,,,,,,1056,4144
Part_0001,$0.33 ,6,Part,,,27,3,,,,,,,,,,,,,160,1312
Part_0002,$1.02 ,6,Part,,,8,3,,,,,,,,,,,,,160,1344
Part_0003,$0.92 ,6,Part,,,8,3,,,,,,,,,,,,,160,1376
Part_0004,$0.74 ,6,Part,,,31,3,,,,,,,,,,,,,160,1408
Part_0005,$8.02 ,6,Part,,,15,3,,,,,,,,,,,,,160,2096
Part_0006,$0.30 ,6,Part,,,14,3,,,,,,,,,,,,,160,4144
Part_0007,$1.06 ,5,Part,,,16,3,,,,,,,,,,,,,384,304
Part_0008,$1.41 ,5,Part,,,23,3,,,,,,,,,,,,,384,336
Part_0009,$0.05 ,4,Part,,,13,3,,,,,,,,,,,,,608,48
Part_0010,$0.10 ,4,Part,,,15,3,,,,,,,,,,,,,608,80
Part_0011,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,112
Part_0012,$0.03 ,4,Part,,,6,3,,,,,,,,,,,,,608,144
Part_0013,$0.03 ,4,Part,,,10,3,,,,,,,,,,,,,608,336
Part_0014,$0.05 ,4,Part,,,7,3,,,,,,,,,,,,,608,368
Part_0015,$0.03 ,4,Part,,,9,3,,,,,,,,,,,,,608,560
Part_0016,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,592
Part_0017,$0.03 ,4,Part,,,9,3,,,,,,,,,,,,,608,880
Part_0018,$0.03 ,4,Part,,,13,3,,,,,,,,,,,,,608,912
Part_0019,$0.04 ,4,Part,,,10,3,,,,,,,,,,,,,608,1136
Part_0020,$0.03 ,4,Part,,,7,3,,,,,,,,,,,,,608,1168
Part_0021,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,1360
Part_0022,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,1392
Part_0023,$0.04 ,4,Part,,,18,3,,,,,,,,,,,,,608,1424
Part_0024,$0.03 ,4,Part,,,10,3,,,,,,,,,,,,,608,1616
Part_0025,$0.03 ,4,Part,,,10,3,,,,,,,,,,,,,608,1648
Part_0026,$0.03 ,4,Part,,,11,3,,,,,,,,,,,,,608,1872
Part_0027,$0.03 ,4,Part,,,9,3,,,,,,,,,,,,,608,1904
Part_0028,$0.03 ,4,Part,,,8,3,,,,,,,,,,,,,608,2128
Part_0029,$0.03 ,4,Part,,,7,3,,,,,,,,,,,,,608,2160
Part_0030,$0.03 ,4,Part,,,10,3,,,,,,,,,,,,,608,2384
Part_0031,$0.04 ,4,Part,,,8,3,,,,,,,,,,,,,608,2416
Part_0032,$0.03 ,4,Part,,,6,3,,,,,,,,,,,,,608,2640
Part_0033,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,2672
Part_0034,$0.05 ,4,Part,,,7,3,,,,,,,,,,,,,608,2896
Part_0035,$0.04 ,4,Part,,,12,3,,,,,,,,,,,,,608,2928
Part_0036,$0.02 ,4,Part,,,14,3,,,,,,,,,,,,,608,3152
Part_0037,$0.03 ,4,Part,,,7,3,,,,,,,,,,,,,608,3184
Part_0038,$0.04 ,4,Part,,,12,3,,,,,,,,,,,,,608,3440
Part_0039,$0.03 ,4,Part,,,8,3,,,,,,,,,,,,,608,3472
Part_0040,$0.03 ,4,Part,,,9,3,,,,,,,,,,,,,608,3664
Part_0041,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,3696
Part_0042,$0.03 ,4,Part,,,7,3,,,,,,,,,,,,,608,3920
Part_0043,$0.03 ,4,Part,,,12,3,,,,,,,,,,,,,608,3952
Part_0044,$0.03 ,4,Part,,,10,3,,,,,,,,,,,,,608,4176
Part_0045,$0.04 ,4,Part,,,9,3,,,,,,,,,,,,,608,4208
