sourceStage,destinationStage
Manuf_0001,Trans_0001
Manuf_0002,Trans_0002
Manuf_0003,Trans_0003
Manuf_0004,Trans_0004
Manuf_0005,Trans_0005
Manuf_0006,Trans_0006
Manuf_0007,Trans_0007
Manuf_0008,Trans_0008
Manuf_0009,Trans_0009
Manuf_0010,Trans_0010
Manuf_0011,Trans_0011
Manuf_0012,Trans_0012
Manuf_0013,Trans_0013
Manuf_0014,Trans_0014
Manuf_0015,Trans_0015
Manuf_0016,Trans_0016
Manuf_0017,Trans_0017
Manuf_0018,Trans_0018
Manuf_0019,Trans_0019
Manuf_0020,Trans_0020
Manuf_0021,Trans_0021
Manuf_0022,Trans_0022
Manuf_0023,Trans_0023
Manuf_0024,Trans_0024
Manuf_0025,Trans_0025
Manuf_0026,Trans_0026
Manuf_0027,Trans_0027
Manuf_0028,Trans_0028
Manuf_0028,Trans_0029
Manuf_0029,Trans_0030
Manuf_0030,Trans_0031
Manuf_0030,Trans_0032
Manuf_0030,Trans_0033
Manuf_0030,Trans_0034
Manuf_0030,Trans_0035
Manuf_0030,Trans_0036
Manuf_0030,Trans_0037
Manuf_0030,Trans_0038
Manuf_0030,Trans_0039
Manuf_0031,Trans_0040
Manuf_0031,Trans_0041
Manuf_0031,Trans_0042
Manuf_0031,Trans_0043
Manuf_0031,Trans_0044
Manuf_0031,Trans_0045
Manuf_0031,Trans_0046
Manuf_0031,Trans_0047
Manuf_0031,Trans_0048
Manuf_0032,Trans_0049
Manuf_0032,Trans_0050
Manuf_0032,Trans_0051
Manuf_0032,Trans_0052
Manuf_0032,Trans_0053
Manuf_0032,Trans_0054
Manuf_0032,Trans_0055
Manuf_0032,Trans_0056
Manuf_0032,Trans_0057
Manuf_0033,Trans_0058
Manuf_0033,Trans_0059
Manuf_0033,Trans_0060
Manuf_0033,Trans_0061
Manuf_0033,Trans_0062
Manuf_0033,Trans_0063
Manuf_0033,Trans_0064
Manuf_0033,Trans_0065
Manuf_0033,Trans_0066
Manuf_0034,Trans_0067
Manuf_0034,Trans_0068
Manuf_0034,Trans_0069
Manuf_0034,Trans_0070
Manuf_0034,Trans_0071
Manuf_0034,Trans_0072
Manuf_0034,Trans_0073
Manuf_0034,Trans_0074
Manuf_0034,Trans_0075
Manuf_0035,Trans_0076
Manuf_0035,Trans_0077
Manuf_0035,Trans_0078
Manuf_0035,Trans_0079
Manuf_0035,Trans_0080
Manuf_0035,Trans_0081
