sourceStage,destinationStage
Manuf_0001,Trans_0004
Manuf_0002,Trans_0005
Manuf_0003,Dist_0001
Manuf_0003,Dist_0002
Manuf_0003,Dist_0003
Manuf_0003,Dist_0004
Manuf_0003,Dist_0005
Manuf_0004,Dist_0006
Manuf_0004,Dist_0007
Manuf_0004,Dist_0008
Manuf_0004,Dist_0009
Manuf_0005,Dist_0010
Manuf_0005,Dist_0011
Manuf_0005,Dist_0012
Manuf_0005,Dist_0013
Manuf_0005,Dist_0014
Manuf_0005,Dist_0015
Manuf_0005,Dist_0016
Manuf_0005,Dist_0017
Manuf_0005,Dist_0018
Manuf_0005,Dist_0019
Manuf_0005,Dist_0020
Manuf_0006,Dist_0021
Manuf_0006,Dist_0022
Manuf_0006,Dist_0023
Manuf_0006,Dist_0024
Manuf_0006,Dist_0025
Manuf_0007,Dist_0026
Manuf_0007,Dist_0027
Manuf_0007,Dist_0028
Manuf_0007,Dist_0029
Manuf_0008,Dist_0030
Manuf_0008,Dist_0031
Manuf_0008,Dist_0032
Manuf_0008,Dist_0033
Manuf_0008,Dist_0034
Manuf_0008,Dist_0035
Manuf_0008,Dist_0036
Manuf_0008,Dist_0037
Manuf_0008,Dist_0038
Manuf_0008,Dist_0039
Manuf_0008,Dist_0040
Manuf_0009,Dist_0041
Manuf_0009,Dist_0042
Manuf_0009,Dist_0043
Manuf_0009,Dist_0044
Manuf_0009,Dist_0045
Manuf_0009,Dist_0046
Manuf_0009,Dist_0047
Manuf_0009,Dist_0048
Manuf_0009,Dist_0049
Manuf_0009,Dist_0050
Manuf_0009,Dist_0051
Part_0001,Manuf_0001
Part_0001,Manuf_0002
Part_0002,Manuf_0001
Part_0002,Manuf_0002
Part_0003,Manuf_0001
Part_0003,Manuf_0002
Part_0004,Manuf_0001
Part_0004,Manuf_0002
Part_0005,Manuf_0001
Part_0005,Manuf_0002
Part_0006,Manuf_0001
Part_0006,Manuf_0002
Part_0007,Trans_0001
Part_0008,Trans_0002
Part_0009,Trans_0003
Part_0010,Manuf_0003
Part_0011,Manuf_0003
Part_0011,Manuf_0006
Part_0012,Manuf_0004
Part_0013,Manuf_0004
Part_0013,Manuf_0007
Part_0014,Manuf_0005
Part_0015,Manuf_0005
Part_0016,Manuf_0005
Part_0016,Manuf_0008
Part_0016,Manuf_0009
Part_0017,Manuf_0006
Part_0018,Manuf_0007
Part_0019,Manuf_0003
Part_0019,Manuf_0004
Part_0019,Manuf_0005
Part_0019,Manuf_0006
Part_0019,Manuf_0007
Part_0019,Manuf_0008
Part_0019,Manuf_0009
Part_0020,Manuf_0008
Part_0021,Manuf_0008
Part_0022,Manuf_0009
Part_0023,Manuf_0009
Trans_0001,Manuf_0009
Trans_0002,Manuf_0006
Trans_0002,Manuf_0007
Trans_0002,Manuf_0008
Trans_0002,Manuf_0009
Trans_0003,Manuf_0003
Trans_0003,Manuf_0004
Trans_0003,Manuf_0005
Trans_0004,Manuf_0003
Trans_0004,Manuf_0004
Trans_0004,Manuf_0005
Trans_0004,Manuf_0006
Trans_0004,Manuf_0007
Trans_0004,Manuf_0008
Trans_0005,Manuf_0009
