Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Manuf_0001,$1.06 ,6,Manuf,,,20.00,,,,,,,,,,,,,,288,224
Manuf_0002,$0.89 ,6,Manuf,,,20.00,,,,,,,,,,,,,,288,256
Manuf_0003,$1.26 ,6,Manuf,,,20.00,,,,,,,,,,,,,,288,2336
Manuf_0004,$1.12 ,6,Manuf,,,15.00,,,,,,,,,,,,,,288,2368
Manuf_0005,$0.79 ,5,Manuf,,,5.00,,,,,,,,,,,,,,480,288
Manuf_0006,$1.23 ,5,Manuf,,,5.00,,,,,,,,,,,,,,480,2304
Manuf_0007,$0.70 ,4,Manuf,,,20.00,,,,,,,,,,,,,,624,224
Manuf_0008,$0.71 ,4,Manuf,,,20.00,,,,,,,,,,,,,,624,2336
Manuf_0009,$17.84 ,3,Manuf,,,4.00,,,,,,,,,,,,,,896,224
Manuf_0010,$22.38 ,3,Manuf,,,2.00,,,,,,,,,,,,,,896,2336
Manuf_0011,$4.22 ,2,Manuf,,,2.00,,,,,,,,,,,,,,1120,32
Manuf_0012,$1.07 ,2,Manuf,,,2.00,,,,,,,,,,,,,,1120,144
Manuf_0013,$0.78 ,2,Manuf,,,6.00,,,,,,,,,,,,,,1120,224
Manuf_0014,$4.06 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,304
Manuf_0015,$3.87 ,2,Manuf,,,2.00,,,,,,,,,,,,,,1120,384
Manuf_0016,$0.92 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,576
Manuf_0017,$1.25 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,768
Manuf_0018,$1.04 ,2,Manuf,,,6.00,,,,,,,,,,,,,,1120,960
Manuf_0019,$1.27 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,1152
Manuf_0020,$0.98 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,1344
Manuf_0021,$1.17 ,2,Manuf,,,2.00,,,,,,,,,,,,,,1120,1536
Manuf_0022,$0.68 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,2176
Manuf_0023,$2.47 ,2,Manuf,,,6.00,,,,,,,,,,,,,,1120,2368
Manuf_0024,$1.02 ,2,Manuf,,,8.00,,,,,,,,,,,,,,1120,2416
Manuf_0025,$2.19 ,2,Manuf,,,8.00,,,,,,,,,,,,,,1120,2464
Manuf_0026,$2.52 ,2,Manuf,,,8.00,,,,,,,,,,,,,,1120,2560
Manuf_0027,$1.21 ,2,Manuf,,,6.00,,,,,,,,,,,,,,1120,2752
Manuf_0028,$1.04 ,2,Manuf,,,4.00,,,,,,,,,,,,,,1120,2944
