sourceStage,destinationStage
Dist_0001,Retail_0001
Dist_0001,Retail_0002
Dist_0002,Retail_0003
Dist_0002,Retail_0004
Dist_0003,Retail_0005
Dist_0003,Retail_0006
Dist_0004,Retail_0007
Dist_0004,Retail_0008
Dist_0005,Retail_0009
Dist_0005,Retail_0010
Dist_0006,Retail_0011
Dist_0006,Retail_0012
Dist_0007,Retail_0013
Dist_0007,Retail_0014
Dist_0008,Retail_0015
Dist_0008,Retail_0016
Dist_0009,Retail_0017
Dist_0009,Retail_0018
Dist_0010,Retail_0019
Dist_0010,Retail_0020
Dist_0011,Retail_0021
Dist_0011,Retail_0022
Dist_0012,Retail_0023
Dist_0012,Retail_0024
Dist_0013,Retail_0025
Dist_0013,Retail_0026
Dist_0014,Retail_0027
Dist_0014,Retail_0028
Dist_0015,Retail_0029
Dist_0015,Retail_0030
Dist_0016,Retail_0031
Dist_0016,Retail_0032
Dist_0017,Retail_0033
Dist_0017,Retail_0034
Manuf_0001,Manuf_0014
Manuf_0001,Manuf_0015
Manuf_0001,Manuf_0016
Manuf_0001,Manuf_0017
Manuf_0001,Manuf_0018
Manuf_0001,Manuf_0019
Manuf_0001,Manuf_0020
Manuf_0001,Manuf_0021
Manuf_0001,Manuf_0022
Manuf_0001,Manuf_0023
Manuf_0001,Manuf_0024
Manuf_0002,Manuf_0014
Manuf_0002,Manuf_0015
Manuf_0002,Manuf_0016
Manuf_0002,Manuf_0017
Manuf_0002,Manuf_0018
Manuf_0002,Manuf_0019
Manuf_0002,Manuf_0020
Manuf_0002,Manuf_0021
Manuf_0002,Manuf_0022
Manuf_0002,Manuf_0023
Manuf_0002,Manuf_0024
Manuf_0003,Manuf_0014
Manuf_0003,Manuf_0015
Manuf_0003,Manuf_0016
Manuf_0003,Manuf_0017
Manuf_0003,Manuf_0018
Manuf_0003,Manuf_0019
Manuf_0003,Manuf_0020
Manuf_0003,Manuf_0021
Manuf_0003,Manuf_0022
Manuf_0003,Manuf_0023
Manuf_0003,Manuf_0024
Manuf_0004,Manuf_0014
Manuf_0004,Manuf_0015
Manuf_0004,Manuf_0016
Manuf_0004,Manuf_0017
Manuf_0004,Manuf_0018
Manuf_0004,Manuf_0019
Manuf_0004,Manuf_0020
Manuf_0004,Manuf_0021
Manuf_0004,Manuf_0022
Manuf_0004,Manuf_0023
Manuf_0004,Manuf_0024
Manuf_0005,Manuf_0025
